"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 16, 2019","2,168.15","2,168.05","2,175.01","2,166.29","377.05M","-0.10%"
"Dec 13, 2019","2,170.25","2,164.63","2,170.25","2,159.45","540.03M","1.54%"
"Dec 12, 2019","2,137.35","2,120.13","2,138.93","2,120.13","584.64M","1.51%"
"Dec 11, 2019","2,105.62","2,098.28","2,109.22","2,092.48","668.73M","0.36%"
"Dec 10, 2019","2,098.00","2,081.22","2,100.48","2,080.16","500.06M","0.45%"
"Dec 09, 2019","2,088.65","2,091.94","2,093.81","2,084.31","393.13M","0.33%"
"Dec 06, 2019","2,081.85","2,072.44","2,084.44","2,070.17","440.19M","1.02%"
"Dec 05, 2019","2,060.74","2,078.31","2,084.29","2,053.56","472.19M","-0.39%"
"Dec 04, 2019","2,068.89","2,070.84","2,072.91","2,057.45","347.00M","-0.73%"
"Dec 03, 2019","2,084.07","2,075.02","2,085.71","2,066.60","450.04M","-0.38%"
"Dec 02, 2019","2,091.92","2,097.55","2,103.87","2,088.92","385.34M","0.19%"
"Nov 29, 2019","2,087.96","2,125.53","2,125.53","2,085.10","433.26M","-1.45%"
"Nov 28, 2019","2,118.60","2,116.93","2,127.75","2,116.58","335.23M","-0.43%"
"Nov 27, 2019","2,127.85","2,134.47","2,136.30","2,118.07","367.80M","0.31%"
"Nov 26, 2019","2,121.35","2,129.27","2,139.64","2,120.85","532.60M","-0.10%"
"Nov 25, 2019","2,123.50","2,117.14","2,130.04","2,116.07","397.68M","1.02%"
"Nov 22, 2019","2,101.96","2,098.89","2,106.42","2,093.99","519.85M","0.26%"
"Nov 21, 2019","2,096.60","2,123.65","2,125.36","2,088.19","579.55M","-1.35%"
"Nov 20, 2019","2,125.32","2,140.06","2,145.97","2,123.80","581.06M","-1.30%"
"Nov 19, 2019","2,153.24","2,151.04","2,154.41","2,137.01","826.88M","-0.34%"
"Nov 18, 2019","2,160.69","2,161.89","2,165.89","2,151.97","489.23M","-0.07%"
"Nov 15, 2019","2,162.18","2,137.96","2,165.02","2,135.26","556.25M","1.07%"
"Nov 14, 2019","2,139.23","2,127.54","2,139.23","2,121.32","521.11M","0.79%"
"Nov 13, 2019","2,122.45","2,132.48","2,133.37","2,118.67","664.36M","-0.86%"
"Nov 12, 2019","2,140.92","2,131.26","2,140.94","2,121.80","610.43M","0.79%"
"Nov 11, 2019","2,124.09","2,139.07","2,139.07","2,119.07","617.27M","-0.61%"
"Nov 08, 2019","2,137.23","2,154.18","2,155.94","2,133.75","574.13M","-0.33%"
"Nov 07, 2019","2,144.29","2,141.05","2,147.01","2,135.45","425.66M","0.01%"
"Nov 06, 2019","2,144.15","2,142.69","2,156.23","2,138.83","410.08M","0.07%"
"Nov 05, 2019","2,142.64","2,133.66","2,143.12","2,128.70","400.64M","0.58%"
"Nov 04, 2019","2,130.24","2,111.32","2,130.83","2,111.32","476.26M","1.43%"
"Nov 01, 2019","2,100.20","2,084.79","2,100.42","2,081.53","418.31M","0.80%"
"Oct 31, 2019","2,083.48","2,089.22","2,103.71","2,083.48","461.32M","0.15%"
"Oct 30, 2019","2,080.27","2,093.51","2,093.51","2,075.54","415.55M","-0.59%"
"Oct 29, 2019","2,092.69","2,103.92","2,105.17","2,088.04","357.66M","-0.04%"
"Oct 28, 2019","2,093.60","2,096.67","2,104.39","2,089.76","269.23M","0.27%"
"Oct 25, 2019","2,087.89","2,091.16","2,091.24","2,079.30","348.69M","0.11%"
"Oct 24, 2019","2,085.66","2,089.85","2,089.85","2,067.90","367.72M","0.24%"
"Oct 23, 2019","2,080.62","2,086.81","2,088.25","2,074.88","429.45M","-0.39%"
"Oct 22, 2019","2,088.86","2,076.29","2,093.81","2,073.08","504.06M","1.16%"
"Oct 21, 2019","2,064.84","2,067.97","2,067.97","2,059.33","606.11M","0.20%"
"Oct 18, 2019","2,060.69","2,082.23","2,088.54","2,057.89","516.69M","-0.83%"
"Oct 17, 2019","2,077.94","2,081.76","2,087.15","2,072.49","314.18M","-0.23%"
"Oct 16, 2019","2,082.83","2,080.92","2,090.01","2,073.80","524.54M","0.71%"
"Oct 15, 2019","2,068.17","2,064.78","2,073.21","2,064.34","464.53M","0.04%"
"Oct 14, 2019","2,067.40","2,068.13","2,075.10","2,065.53","511.22M","1.11%"
"Oct 11, 2019","2,044.61","2,048.08","2,053.94","2,040.48","381.15M","0.81%"
"Oct 10, 2019","2,028.15","2,030.13","2,040.88","2,010.90","445.85M","-0.88%"
"Oct 08, 2019","2,046.25","2,029.37","2,046.81","2,024.63","437.52M","1.21%"
"Oct 07, 2019","2,021.73","2,031.53","2,034.94","2,016.19","322.18M","0.05%"
"Oct 04, 2019","2,020.69","2,028.40","2,039.43","2,020.69","402.94M","-0.55%"
"Oct 02, 2019","2,031.91","2,058.23","2,058.23","2,031.91","414.46M","-1.95%"
"Oct 01, 2019","2,072.42","2,062.44","2,077.48","2,057.91","389.34M","0.45%"
"Sep 30, 2019","2,063.05","2,045.77","2,064.99","2,042.01","327.62M","0.64%"
"Sep 27, 2019","2,049.93","2,066.96","2,066.96","2,044.75","285.94M","-1.19%"
"Sep 26, 2019","2,074.52","2,082.66","2,087.33","2,064.34","430.58M","0.05%"
"Sep 25, 2019","2,073.39","2,093.47","2,095.27","2,072.41","651.55M","-1.32%"
"Sep 24, 2019","2,101.04","2,090.19","2,101.63","2,085.91","535.77M","0.45%"
"Sep 23, 2019","2,091.70","2,087.70","2,095.54","2,085.60","420.95M","0.01%"
"Sep 20, 2019","2,091.52","2,080.86","2,092.37","2,077.30","589.92M","0.54%"
"Sep 19, 2019","2,080.35","2,070.53","2,089.81","2,070.53","493.04M","0.46%"
"Sep 18, 2019","2,070.73","2,064.42","2,075.63","2,058.52","613.15M","0.41%"
"Sep 17, 2019","2,062.33","2,058.72","2,066.33","2,055.17","508.00M","0.01%"
"Sep 16, 2019","2,062.22","2,056.26","2,062.22","2,044.80","493.52M","0.64%"
"Sep 11, 2019","2,049.20","2,043.72","2,050.80","2,040.04","429.08M","0.84%"
"Sep 10, 2019","2,032.08","2,024.79","2,034.28","2,021.58","504.39M","0.62%"
"Sep 09, 2019","2,019.55","2,013.38","2,029.80","2,013.28","511.82M","0.52%"
"Sep 06, 2019","2,009.13","2,016.11","2,017.20","2,005.69","384.44M","0.22%"
"Sep 05, 2019","2,004.75","1,993.62","2,015.39","1,992.51","488.07M","0.82%"
"Sep 04, 2019","1,988.53","1,962.43","1,988.53","1,962.08","348.72M","1.16%"
"Sep 03, 2019","1,965.69","1,966.50","1,976.37","1,960.15","342.08M","-0.18%"
"Sep 02, 2019","1,969.19","1,961.19","1,973.25","1,958.59","262.15M","0.07%"
"Aug 30, 2019","1,967.79","1,951.66","1,971.21","1,951.30","317.73M","1.78%"
"Aug 29, 2019","1,933.41","1,943.55","1,947.15","1,928.49","285.10M","-0.40%"
"Aug 28, 2019","1,941.09","1,929.96","1,943.62","1,926.43","284.34M","0.86%"
"Aug 27, 2019","1,924.60","1,928.98","1,937.42","1,919.28","427.04M","0.43%"
"Aug 26, 2019","1,916.31","1,915.34","1,924.49","1,909.92","324.85M","-1.64%"
"Aug 23, 2019","1,948.30","1,942.42","1,953.85","1,940.60","381.09M","-0.14%"
"Aug 22, 2019","1,951.01","1,966.60","1,967.96","1,951.01","435.56M","-0.69%"
"Aug 21, 2019","1,964.65","1,954.57","1,971.12","1,954.47","391.57M","0.22%"
"Aug 20, 2019","1,960.25","1,942.99","1,964.16","1,937.53","463.60M","1.05%"
"Aug 19, 2019","1,939.90","1,936.64","1,943.09","1,931.44","481.02M","0.66%"
"Aug 16, 2019","1,927.17","1,921.49","1,927.70","1,911.72","421.68M","-0.58%"
"Aug 14, 2019","1,938.37","1,946.18","1,952.22","1,937.23","699.59M","0.65%"
"Aug 13, 2019","1,925.83","1,928.76","1,937.68","1,923.58","660.04M","-0.85%"
"Aug 12, 2019","1,942.29","1,941.53","1,949.19","1,933.25","427.14M","0.23%"
"Aug 09, 2019","1,937.75","1,940.06","1,946.94","1,936.14","654.34M","0.89%"
"Aug 08, 2019","1,920.61","1,926.28","1,937.95","1,915.81","777.16M","0.57%"
"Aug 07, 2019","1,909.71","1,925.33","1,929.29","1,901.61","760.78M","-0.41%"
"Aug 06, 2019","1,917.50","1,900.36","1,948.53","1,891.81","739.59M","-1.51%"
"Aug 05, 2019","1,946.98","1,985.93","1,987.64","1,945.39","639.60M","-2.56%"
"Aug 02, 2019","1,998.13","1,995.31","2,005.31","1,987.12","438.54M","-0.95%"
"Aug 01, 2019","2,017.34","2,015.09","2,032.23","2,009.33","461.74M","-0.36%"
"Jul 31, 2019","2,024.55","2,036.46","2,041.16","2,010.95","589.39M","-0.69%"
"Jul 30, 2019","2,038.68","2,035.32","2,044.59","2,032.61","547.03M","0.45%"
"Jul 29, 2019","2,029.48","2,059.13","2,063.13","2,025.01","608.67M","-1.78%"
"Jul 26, 2019","2,066.26","2,063.35","2,068.16","2,054.64","589.07M","-0.40%"
"Jul 25, 2019","2,074.48","2,085.67","2,088.81","2,061.08","598.63M","-0.38%"
"Jul 24, 2019","2,082.30","2,097.16","2,105.68","2,080.66","851.39M","-0.91%"
"Jul 23, 2019","2,101.45","2,095.76","2,106.39","2,095.38","648.12M","0.39%"
"Jul 22, 2019","2,093.34","2,090.35","2,099.34","2,087.51","332.63M","-0.05%"
"Jul 19, 2019","2,094.36","2,080.21","2,096.73","2,076.51","394.90M","1.35%"
"Jul 18, 2019","2,066.55","2,068.66","2,073.20","2,061.33","446.64M","-0.31%"
"Jul 17, 2019","2,072.92","2,079.91","2,080.01","2,063.49","761.63M","-0.91%"
"Jul 16, 2019","2,091.87","2,084.46","2,096.67","2,078.74","682.80M","0.45%"
"Jul 15, 2019","2,082.48","2,083.39","2,088.34","2,073.10","463.52M","-0.20%"
"Jul 12, 2019","2,086.66","2,083.53","2,090.43","2,077.35","403.94M","0.29%"
"Jul 11, 2019","2,080.58","2,070.59","2,088.24","2,070.21","376.68M","1.06%"
"Jul 10, 2019","2,058.78","2,061.55","2,068.20","2,056.48","355.68M","0.33%"
"Jul 09, 2019","2,052.03","2,070.35","2,075.30","2,052.03","440.12M","-0.59%"
"Jul 08, 2019","2,064.17","2,091.91","2,092.54","2,063.78","515.95M","-2.20%"
"Jul 05, 2019","2,110.59","2,111.00","2,115.43","2,096.23","459.39M","0.09%"
"Jul 04, 2019","2,108.73","2,102.36","2,108.80","2,088.97","446.93M","0.61%"
"Jul 03, 2019","2,096.02","2,120.75","2,127.71","2,093.32","522.71M","-1.23%"
"Jul 02, 2019","2,122.02","2,122.07","2,130.86","2,112.52","460.83M","-0.36%"
"Jul 01, 2019","2,129.74","2,147.24","2,147.24","2,126.87","412.29M","-0.04%"
"Jun 28, 2019","2,130.62","2,135.06","2,139.24","2,123.97","537.27M","-0.17%"
"Jun 27, 2019","2,134.32","2,120.73","2,141.27","2,118.22","644.90M","0.59%"
"Jun 26, 2019","2,121.85","2,120.20","2,128.25","2,115.72","736.85M","0.01%"
"Jun 25, 2019","2,121.64","2,125.74","2,136.24","2,115.11","643.00M","-0.22%"
"Jun 24, 2019","2,126.33","2,130.32","2,134.48","2,123.88","669.64M","0.03%"
"Jun 21, 2019","2,125.62","2,132.38","2,132.68","2,120.15","692.03M","-0.27%"
"Jun 20, 2019","2,131.29","2,121.78","2,131.77","2,120.42","1.01B","0.31%"
"Jun 19, 2019","2,124.78","2,119.54","2,126.74","2,117.64","862.98M","1.24%"
"Jun 18, 2019","2,098.71","2,089.31","2,103.02","2,089.31","600.96M","0.38%"
"Jun 17, 2019","2,090.73","2,091.71","2,103.59","2,087.25","561.55M","-0.22%"
"Jun 14, 2019","2,095.41","2,096.32","2,103.02","2,087.47","473.37M","-0.37%"
"Jun 13, 2019","2,103.15","2,104.46","2,108.01","2,081.92","553.39M","-0.27%"
"Jun 12, 2019","2,108.75","2,111.66","2,118.89","2,104.41","693.51M","-0.14%"
"Jun 11, 2019","2,111.81","2,096.09","2,114.57","2,094.60","550.74M","0.59%"
"Jun 10, 2019","2,099.49","2,087.37","2,099.65","2,075.51","457.64M","1.31%"
"Jun 07, 2019","2,072.33","2,070.78","2,081.16","2,057.97","368.39M","0.16%"
"Jun 05, 2019","2,069.11","2,084.16","2,086.49","2,065.71","380.16M","0.10%"
"Jun 04, 2019","2,066.97","2,066.78","2,072.19","2,060.98","435.99M","-0.04%"
"Jun 03, 2019","2,067.85","2,031.03","2,070.58","2,029.17","387.14M","1.28%"
